Date,RSI_14,MACD_Histogram,MACD,Close,rolling_logvol_30,OBV,Volume,Low,MACD_Signal,High,log_returns
2014-06-25,53.37637410574071,-0.011796439078831489,0.19851367493453154,16.372,0.016330035050496704,1954055780.0,46556860,16.087,0.21031011401336303,16.4075,-0.005358823474322716
2014-06-26,46.2424471299094,-0.020992092960357728,0.1840699978129159,16.2845,0.015670646669253892,1900064020.0,53991760,16.1065,0.20506209077327361,16.4325,-0.0034447793422330737
2014-06-27,47.17780774417262,-0.031098611575571422,0.16618882630380938,16.2285,0.015577221929949502,1851739100.0,48324920,16.1635,0.1972874378793808,16.326,0.000646800669349907
2014-06-30,41.919084939631475,-0.036931487483177844,0.15112307852540852,16.239,0.01555080776285648,1905178840.0,53439740,16.112,0.18805456600858636,16.349,0.023160948255951365
2014-07-01,47.29963482606183,-0.01608324799944788,0.16795050600927652,16.6195,0.015934723306141416,1968728260.0,63549420,16.255,0.1840337540087244,16.66,0.001382959753819536
2014-07-02,58.03240740740735,-0.0023828592906690593,0.1810551798953881,16.6425,0.01580204623648539,2022358260.0,53630000,16.583,0.18343803918605717,16.838,0.013843942197276367
2014-07-03,61.81550126368996,0.01946252077054042,0.2077661901492327,16.8745,0.01582874869664148,2061244260.0,38886000,16.654,0.18830366937869228,16.915,-0.011743101088464498
2014-07-07,55.921709606550785,0.0178457158966851,0.21061081424954864,16.6775,0.016056351722251117,2018645500.0,42598760,16.626,0.19276509835286354,16.8775,-0.029635855127595277
2014-07-08,48.4345268984605,-0.01693977287675233,0.17159038225692314,16.1905,0.016624533116065415,1933153360.0,85492140,16.07,0.18853015513367546,16.687,0.018844817209205996
2014-07-09,46.00615830465493,-0.019917585428466583,0.16363317334809224,16.4985,0.016891340510179254,1996482020.0,63328660,16.1575,0.18355075877655883,16.51,-0.00623206504105284
2014-07-10,50.92221331194866,-0.02895461567797536,0.14735748917908964,16.396,0.016942427540830227,1943181960.0,53300060,16.1325,0.176312104857065,16.499,0.054246966546026704
2014-07-11,66.8298653610771,0.023620938561452615,0.20583827805888077,17.31,0.01939916874822595,2109345240.0,166163280,16.7355,0.18221733949742816,17.35,0.02600214915939138
2014-07-14,69.6528555431131,0.08277564276872257,0.2856868929583314,17.766,0.01978168901978582,2221648760.0,112303520,17.268,0.20291125018960882,17.7885,-0.0024797127223983723
2014-07-15,71.86597342576553,0.11085554903096911,0.3414806864783202,17.722,0.019588718206131287,2138114680.0,83534080,17.47,0.23062513744735108,17.7795,0.004110713337045319
2014-07-16,71.10649658854945,0.1252003833206914,0.3871256165982153,17.795,0.019498991806224646,2208192760.0,70078080,17.65,0.26192523327752393,17.966,-0.009741024296262541
2014-07-17,69.35763888888886,0.11423176720716077,0.40471494228647487,17.6225,0.01965156368377527,2135405860.0,72786900,17.569,0.2904831750793141,17.848,0.017466096300393554
2014-07-18,72.96860261420294,0.1185357380851021,0.4386528476856917,17.933,0.017571306274233596,2203605920.0,68200060,17.604,0.3201171096005896,17.984,0.003062277942173928
2014-07-21,73.288948069241,0.11561106931489895,0.4646309462442133,17.988,0.017333823939950595,2249227520.0,45621600,17.836,0.34901987692931435,18.0855,0.002997504325986143
2014-07-22,70.74522385883041,0.10798162654848004,0.4839969101149144,18.042,0.01724045950234373,2307005640.0,57778120,17.7625,0.3760152835664344,18.1465,-0.007510675379824643
2014-07-23,67.85764722496822,0.08549562015384754,0.48288480875874384,17.907,0.01720338835116761,2253256820.0,53748820,17.831,0.3973891886048963,18.0315,0.0013114755978106555
2014-07-24,65.84633853541412,0.06479679901086771,0.478385187368481,17.9305,0.017168505670941542,2394066520.0,140809700,17.926,0.4135883883576133,18.2425,-0.10146106749285336
2014-07-25,45.0976361767729,-0.06574874114867257,0.3314024619217726,16.2005,0.025053829810376176,2037031060.0,357035460,15.738,0.39715120307044516,16.2435,-0.011172953820152286
2014-07-28,48.135146994295724,-0.15923343017371272,0.19810941535330429,16.0205,0.025132026405554272,1918386400.0,118644660,15.825,0.357342845527017,16.241,-0.0012804298996463102
2014-07-29,44.16344690317293,-0.21404663124493667,0.08978455647084616,16.0,0.02511629632490671,1860687460.0,57698940,15.975,0.3038311877157828,16.145,0.007813147713262459
2014-07-30,46.84988936764874,-0.23194265979608397,0.013902862970677887,16.1255,0.025143013370754915,1940128980.0,79441520,15.925,0.24584552276676186,16.1365,-0.029962902359047076
2014-07-31,28.465828037867993,-0.2636192609751656,-0.0836785534521951,15.6495,0.025177571919712913,1836272460.0,103856520,15.593,0.17994070752297048,16.034,-0.019128072917234677
2014-08-01,17.356601731601756,-0.2902166060507457,-0.1828300500404616,15.353,0.025096302112918297,1687442640.0,148829820,15.2295,0.10738655601028407,15.7915,0.02123454631199928
2014-08-04,24.387793545146295,-0.271624775123474,-0.2321444128940584,15.6825,0.025418788566374067,1771608160.0,84165520,15.425,0.039480362229415575,15.809,-0.004249411318024563
2014-08-05,22.591194968553438,-0.25033656570142854,-0.2734403448973701,15.616,0.02534736008150284,1714490960.0,57117200,15.503,-0.023103779195941566,15.7275,0.005014302836338033
2014-08-06,25.161040968822462,-0.21865015266671778,-0.2964164700293388,15.6945,0.025329501689293203,1760431080.0,45940120,15.51,-0.07776631736262102,15.789,-0.00780379436091112
2014-08-07,18.036560595802285,-0.19440449485399758,-0.320771935930118,15.5725,0.025268533423110646,1701692820.0,58738260,15.4825,-0.1263674410761204,15.794,0.017031848240116245
2014-08-08,22.496798975672206,-0.15079348848489305,-0.31485930168223675,15.84,0.02548552952549802,1755857640.0,54164820,15.533,-0.1640658131973437,15.866,0.004817920613337892
2014-08-11,22.940802036919095,-0.10917630275396517,-0.30053619163980017,15.9165,0.025501973708715427,1805305220.0,49447580,15.844,-0.191359888885835,16.019,0.003105154223989574
2014-08-12,24.739718896408064,-0.07246468886247859,-0.28194074996393326,15.966,0.025510223071349526,1843628080.0,38322860,15.8475,-0.20947606110145467,16.0655,0.021562173654781563
2014-08-13,30.601224048961953,-0.021537541492901602,-0.2363979879675817,16.314,0.02546057024998004,1942520280.0,98892200,16.307,-0.2148604464746801,16.586,0.02101701341475865
2014-08-14,58.26446280991731,0.03558330355979178,-0.17038131702494042,16.6605,0.025764326908599332,2010930780.0,68410500,16.3355,-0.2059646205847322,16.7045,0.0012596726517220408
2014-08-15,62.59527439024396,0.07273811812379052,-0.11504197292999407,16.6815,0.02563387832959067,2088871360.0,77940580,16.416,-0.1877800910537846,16.75,0.0026939671465199626
2014-08-18,63.715310553143325,0.09679673385591026,-0.06678417373389678,16.7265,0.02554863976012867,2138625880.0,49754520,16.6885,-0.16358090758980703,16.89,0.0017919546054863328
2014-08-19,62.35801018409716,0.11020782919039762,-0.025821121101810007,16.7565,0.024924101068660328,2172903560.0,34277680,16.6505,-0.13602895029220763,16.7905,0.0019376673573855713
2014-08-20,77.00876985067555,0.11615059146224703,0.009159289035601148,16.789,0.02470023249660425,2209117400.0,36213840,16.701,-0.10699130242664588,16.858,-0.008584000427670274
2014-08-21,83.0309225658062,0.1056041783131488,0.025013920464790118,16.6455,0.02472632402896665,2169604560.0,39512840,16.6115,-0.08059025784835869,16.829,-0.003972917189608263
2014-08-22,76.49143532191371,0.08998070552497814,0.03188562405786399,16.5795,0.0225518751997836,2125356600.0,44247960,16.54,-0.05809508146711415,16.704,0.007301605432497797
2014-08-25,81.03546910755142,0.08375476611083917,0.04659837617143481,16.701,0.022019439128344226,2164570420.0,39213820,16.6355,-0.03715638993940436,16.8385,0.02311266603250027
2014-08-26,83.90776699029121,0.10072145010017236,0.08874542268581109,17.0915,0.02249329439504769,2237509160.0,72938740,16.7275,-0.011976027414361268,17.218,0.003941553401503303
2014-08-27,89.55372725006225,0.11049272954044657,0.12613988451119695,17.159,0.022491936399836276,2296742300.0,59233140,17.067,0.01564715497075038,17.3335,-0.009250651447891974
2014-08-28,80.61708860759495,0.10059912372110208,0.14139605962212798,17.001,0.022485702482643605,2251648000.0,45094300,16.94,0.0407969359010259,17.0895,-0.002886344889593869
2014-08-29,77.70939256087776,0.08562542756267422,0.14782872035436867,16.952,0.022208526391567177,2212855700.0,38792300,16.884,0.06220329279169445,17.091,0.00980313682664329
2014-09-02,79.02819738167173,0.0818420328078579,0.16450583380151684,17.119,0.02229413968104295,2259433320.0,46577620,16.858,0.08266380099365894,17.125,-0.009921123966182058
2014-09-03,67.59822910902048,0.06364156439502593,0.16221575648744135,16.95,0.02232600673051874,2219483720.0,39949600,16.8775,0.09857419209241543,17.1635,0.020294148564369886
2014-09-04,67.61615044247789,0.07017562351073148,0.1862937214808298,17.2975,0.02266736280385161,2298785860.0,79302140,17.179,0.11611809797009831,17.469,0.0012421823560770425
2014-09-05,67.62510367708045,0.07090577627242256,0.2047503183106265,17.319,0.02266710640689915,2341009060.0,42223200,17.125,0.13384454203820395,17.3415,-0.011732043033378839
2014-09-08,59.933859068939206,0.053535020687343504,0.20076331789738333,17.117,0.012707066875777386,2281827940.0,59181120,16.952,0.14722829721003983,17.2905,-0.03746960367009423
2014-09-09,44.756335282651094,-0.0016744982882571091,0.14513517434971845,16.4875,0.014426001933405286,2188905320.0,92922620,16.459,0.14680967263797556,17.088,0.004780065978261481
2014-09-10,45.739996170783066,-0.03248781554914104,0.10619990320154926,16.5665,0.014436009098029777,2264874580.0,75969260,16.441,0.1386877187506903,16.749,-0.0024476857427019605
2014-09-11,47.61809846521828,-0.05394694572376457,0.07125403659598462,16.526,0.014394431076668568,2210470280.0,54404300,16.3195,0.1252009823197492,16.6505,0.002025056985581096
2014-09-12,49.59612277867529,-0.06357266646599742,0.045735149237252415,16.5595,0.013168261198821304,2279061320.0,68591040,16.4395,0.10930781570324984,16.6445,-0.022288276844343088
2014-09-15,40.68762640191211,-0.09056328330521787,-0.0038962884282724985,16.1945,0.013353482121566396,2198948580.0,80112740,15.95,0.08666699487694537,16.5665,0.011877681264394013
2014-09-16,36.055500495540144,-0.09117441058561367,-0.027301018355071704,16.388,0.0129876466852492,2264251720.0,65303140,16.005,0.06387339223054196,16.474,-0.011538117446286435
2014-09-17,31.85773741959892,-0.099357982386324,-0.06032408575236303,16.2,0.013165225814185706,2181485020.0,82766700,16.076,0.039033896633960966,16.4,0.0030816665374081144
2014-09-18,35.18737672583825,-0.09644375842471878,-0.08152080139693751,16.25,0.013150758941251695,2233038580.0,51553560,16.1855,0.014922957027781271,16.355,0.01925949340032593
2014-09-19,43.11206281227689,-0.06953110610540379,-0.07199092560397347,16.566,0.013439764465748268,2370765140.0,137726560,16.2785,-0.002459819498569677,16.638,-0.020799139585918554
2014-09-22,34.97983870967744,-0.07075723919661722,-0.0909063684943412,16.225,0.01375773684727398,2308424660.0,62340480,16.053,-0.02014912929772398,16.4745,-0.0026846482111052335
2014-09-23,36.519908787931946,-0.07040891687495657,-0.1081602753914197,16.1815,0.01375037882202149,2261360960.0,47063700,16.0625,-0.03775135851646313,16.38,0.014052759484855114
2014-09-24,33.76647144948754,-0.05154122648031863,-0.10217789161686142,16.4105,0.01396412439180905,2314271360.0,52910400,15.978,-0.05063666513654279,16.472,-0.019319516810749015
2014-09-25,29.790047941808567,-0.05659054903731353,-0.12137485143318472,16.0965,0.01387425402450321,2255576440.0,58694920,16.07,-0.06478430239587118,16.427,0.003968136155203722
2014-09-26,33.43149142560192,-0.05211383989938004,-0.12992660227009623,16.1605,0.013302113105382674,2328351260.0,72774820,15.882,-0.07781276237071619,16.175,-0.0043098837313451585
2014-09-29,41.47861594670106,-0.05030195527237097,-0.1406902064611799,16.091,0.013308126418293605,2289761680.0,38589580,15.95,-0.09038825118880894,16.1875,0.001924689384396029
2014-09-30,40.24577572964666,-0.04372698946394302,-0.14504698801873772,16.122,0.013301101262775518,2342558120.0,52796440,15.9255,-0.1013199985547947,16.1715,-0.015565246271304829
2014-10-01,36.871733011660616,-0.052280570434412144,-0.16667071159780988,15.873,0.013540601710083273,2280642260.0,61915860,15.7775,-0.11439014116339774,16.1085,0.0029880343681179633
2014-10-02,37.22510995601759,-0.05082694327141429,-0.17792382025266562,15.9205,0.013551967611293264,2351721120.0,71078860,15.5655,-0.12709687698125133,15.9265,0.013507185000992933
2014-10-03,48.77789585547288,-0.0322761633899494,-0.1674420812186881,16.137,0.01376744965284239,2412477180.0,60756060,15.9765,-0.13516591782873869,16.258,-0.0016745747703322995
2014-10-06,43.64135407136316,-0.01944771918097765,-0.15947556680496078,16.11,0.013756923320449818,2366593540.0,45883640,15.98,-0.14002784762398313,16.2065,-0.016333790338594438
2014-10-07,42.23107569721116,-0.025767420402343255,-0.1722371231269122,15.849,0.01394314666277154,2319284680.0,47308860,15.8335,-0.14646970272456894,16.1,0.017884418653636665
2014-10-08,47.695390781563155,-0.008790527765817291,-0.15745786243184057,16.135,0.013651353275712413,2388442820.0,69158140,15.707,-0.14866733466602328,16.2055,-0.02297654636426729
2014-10-09,34.33510115890789,-0.01972272844428119,-0.17332074522137475,15.7685,0.014129095236075948,2316668240.0,71774580,15.726,-0.15359801677709356,16.1135,-0.012700406847279045
2014-10-10,36.36363636363634,-0.03684031332234705,-0.1996484084300274,15.5695,0.014197136836073342,2242999040.0,73669200,15.569,-0.16280809510768035,15.8885,-0.01599153591462922
2014-10-13,33.52512466436518,-0.059916726438299595,-0.23770400315555484,15.3225,0.014395914354537069,2155622460.0,87376580,15.1735,-0.17778727671725525,15.66,0.006051160373350676
2014-10-14,29.866450829623673,-0.06368374590709924,-0.25739195910112933,15.4155,0.014293469417087864,2223338540.0,67716080,15.2875,-0.1937082131940301,15.612,-0.007618712374554923
2014-10-15,32.45382585751983,-0.06840709940061654,-0.2792170874448008,15.2985,0.014263919639556139,2116412940.0,106925600,14.955,-0.21080998804418424,15.395,-0.01021640540202698
2014-10-16,28.492919044599503,-0.07578332497856927,-0.3055391442673958,15.143,0.013586631422779874,2021785820.0,94627120,14.6915,-0.22975581928882655,15.341,0.002572136620058077
2014-10-17,30.53533190578159,-0.07185038431138893,-0.31956879967806273,15.182,0.013607944324660675,2109965300.0,88179480,15.136,-0.2477184153666738,15.46,0.008428351934949277
2014-10-20,33.31963001027751,-0.0551598061140009,-0.31666817300917494,15.3105,0.013730103193504234,2174740800.0,64775500,15.101,-0.26150836689517404,15.3265,0.0293485684198561
2014-10-21,47.98257245690474,-0.010321930302071403,-0.2744107797727633,15.7665,0.013483490740507927,2245989420.0,71248620,15.3535,-0.2640888494706919,15.782,-0.007512370202170169
2014-10-22,44.98154981549815,0.013199837545474047,-0.24758905253884933,15.6485,0.01347313701551306,2183398440.0,62590980,15.632,-0.2607888900843234,15.949,0.000670765816094233
2014-10-23,40.455271565495224,0.030298516644885642,-0.22291574427821637,15.659,0.013480795398044417,2363450540.0,180052100,15.57,-0.253214260923102,15.84,-0.08708685197406263
2014-10-24,26.77768966428762,-0.041610023723893275,-0.30522679057796864,14.353,0.020565623173477935,1967369260.0,396081280,14.2,-0.26361676685407537,14.6905,0.010086216210281437
2014-10-27,31.588275391956387,-0.0728108236973361,-0.3546302964757455,14.4985,0.020463649289060214,2086379440.0,119010180,14.251,-0.2818194727784094,14.521,0.019195889648977293
2014-10-28,31.494880546075095,-0.06804795909686973,-0.3668794216494966,14.7795,0.020697873867256234,2197912360.0,111532920,14.488,-0.2988314625526269,14.9,-0.004985511674471447
2014-10-29,34.23356581095119,-0.06346171026594638,-0.3781586003850599,14.706,0.020644012802771068,2100247160.0,97665200,14.6535,-0.3146968901191135,14.9805,0.016689812374700887
2014-10-30,40.98888238736104,-0.038596467359741815,-0.3629424743187908,14.9535,0.02093482563273325,2181350260.0,81103100,14.618,-0.32434600695904897,14.987,0.02114117743957725
2014-10-31,49.290932531155995,0.0023586199936845853,-0.3213977319669432,15.273,0.021005807545072253,2272386160.0,91035900,15.075,-0.3237563519606278,15.286,0.0008508132323837674
2014-11-03,48.10145140008796,0.0316860870482264,-0.2841487431503449,15.286,0.020733001900587227,2337242760.0,64856600,15.162,-0.3158348301985713,15.4005,-0.009564104257630948
2014-11-04,47.70282058738003,0.0420008739626066,-0.2633337377453131,15.1405,0.02077897577969776,2268701940.0,68540820,15.0085,-0.3053346117079197,15.2125,-0.020990876328533307
2014-11-05,45.59477487493051,0.028977249454677834,-0.2691130498895724,14.826,0.02081781530591034,2175228040.0,93473900,14.708,-0.29809029934425024,15.2,0.0004046125889712775
2014-11-06,45.09116409537168,0.022395796965194337,-0.27009555313775735,14.832,0.02060760772672422,2250371600.0,75143560,14.6145,-0.2924913501029517,14.85,0.010796416689266636
2014-11-07,45.58721334259905,0.030037877046344363,-0.25494400379502125,14.993,0.02072150088397745,2303298000.0,52926400,14.8145,-0.2849818808413656,14.9995,0.017356668257711653
2014-11-10,42.49412455934194,0.05260341180102257,-0.21922761609008745,15.2555,0.021031488361431278,2359469120.0,56171120,15.0,-0.27183102789111,15.29,0.02236287125343338
2014-11-11,49.339025061966396,0.08848481965897825,-0.1612250033173872,15.6005,0.021481750176696283,2435610440.0,76141320,15.1825,-0.24970982297636546,15.619,-0.0016037981369441397
