Date,Volume,ATR_14,Bollinger_Upper,High,EMA_20,Close,Open,SMA_20,OBV,Low,rolling_logvol_30
2022-05-03,63709575.0,19.654499999999995,370.0594085310757,308.027,317.41931795766004,303.083,301.06,325.49825,17068997317.5,296.197,0.039405869963208405
2022-05-04,81643704.0,20.06114285714285,364.0343889939451,318.5,317.430811485502,317.54,301.313,323.18760000000003,17150641021.5,295.093,0.04235473391781587
2022-05-05,92519193.0,21.364499999999996,361.7218785326307,315.2,314.9224484868828,291.093,313.07,320.3129,17058121828.5,285.9,0.0422044108427291
2022-05-06,72903111.0,21.445071428571424,357.94995806314,296.0,312.4107867262273,288.55,295.667,317.11940000000004,16985218717.5,281.035,0.04527364802840413
2022-05-09,90810222.0,22.51378571428571,359.006776679887,281.877,307.6449975142056,262.37,278.817,313.1464,16894408495.5,260.383,0.042586271194428156
2022-05-10,84401631.0,22.33185714285714,360.118758152294,275.12,303.74356917951934,266.68,273.103,310.2149,16978810126.5,258.083,0.0446228186081361
2022-05-11,97224459.0,21.559214285714283,362.9722289419113,269.923,298.11722925766037,244.667,265.0,305.9991,16881585667.5,242.4,0.044606234882893954
2022-05-12,140312862.0,22.483214285714286,362.20086965720685,253.22,292.8362550426451,242.667,233.667,301.09295000000003,16741272805.5,226.667,0.0463540583662893
2022-05-13,92150724.0,23.102928571428574,360.28630003020044,262.45,289.3785164671551,256.53,257.827,297.50280000000004,16833423529.5,250.522,0.04708154012243105
2022-05-16,86098539.0,21.33328571428571,357.79239305016176,256.587,284.81456251790223,241.457,255.72,292.8375,16747324990.5,239.696,0.04686553780220843
2022-05-17,80236110.0,21.298285714285708,351.1003385514568,254.827,281.8674613257211,253.87,249.12,288.39515,16827561100.5,242.95,0.04759516292009023
2022-05-18,87811812.0,20.881642857142854,348.1223044244229,253.5,277.556560247081,236.603,248.173,283.93864999999994,16739749288.5,233.603,0.04735294708527649
2022-05-19,90296673.0,20.298071428571426,341.5010286532983,244.667,273.6438402235495,236.473,235.667,278.94930000000005,16649452615.5,231.37,0.04810455261285009
2022-05-20,144973305.0,21.018357142857138,335.02477515102464,240.527,268.65871258321147,221.3,237.997,273.26345,16504479310.5,211.0,0.04836263584771326
2022-05-23,88903638.0,21.170857142857137,326.5327400398889,226.652,264.4975970990961,224.967,218.34,267.87815,16593382948.5,212.687,0.049091725062670136
2022-05-24,89092515.0,20.792499999999997,326.70563445090954,217.973,259.2489688039441,209.387,217.843,263.7405,16504290433.5,206.857,0.05019162224840227
2022-05-25,92139324.0,19.635142857142853,324.26328004781004,223.107,255.4728765369018,219.6,207.95,260.02865,16596429757.5,207.67,0.051822775670224745
2022-05-26,106003344.0,20.114071428571428,320.3877799000996,239.557,253.60974543814925,235.91,220.473,257.199,16702433101.5,217.887,0.05374381916765518
2022-05-27,89294982.0,19.341928571428564,316.59808425188277,253.267,253.5716744440398,253.21,241.083,255.34685,16791728083.5,240.177,0.0535010365321482
2022-05-31,101914371.0,19.186214285714282,310.29620829225826,259.6,253.49370544936932,252.753,257.947,252.9355,16689813712.5,244.743,0.0531961624266726
2022-06-01,77247963.0,18.19792857142857,302.4220865488323,257.327,252.85525731133413,246.79,251.72,250.12085000000002,16612565749.5,243.64,0.053618697767993405
2022-06-02,93473118.0,17.882928571428568,289.0628075988105,264.21,253.3769470912071,258.333,244.157,247.1605,16706038867.5,242.067,0.055454317730049045
2022-06-03,112393737.0,18.2495,281.0663599912637,247.797,251.58076165394928,234.517,243.225,244.3317,16593645130.5,233.418,0.05567098353511813
2022-06-06,84204522.0,17.794214285714286,272.1317501583049,244.867,250.31402244881124,238.28,244.353,241.8182,16677849652.5,234.35,0.055724044193483396
2022-06-07,72808602.0,17.54664285714286,269.3841619689805,239.997,249.2257345965435,238.887,234.0,240.64404999999996,16750658254.5,230.093,0.051121769759794655
2022-06-08,76210620.0,16.89014285714286,265.4248985482159,249.963,248.52490273020604,241.867,240.087,239.4034,16826868874.5,239.177,0.05107243922121508
