Date,RSI_14,MACD_Histogram,MACD,rolling_logvol_30,OBV,Close,Low,High,Open,MACD_Signal,log_returns
2010-09-15,63.692982766552184,0.14123755508622166,-0.03229953686039977,0.013856719231938416,-1492925559.0688398,19.2976,19.1519,19.3831,19.2685,-0.17353709194662142,0.008760535842564114
2010-09-16,70.86781319709286,0.15869586466585656,0.024832738885699257,0.013672963062153657,-1435103322.4130907,19.4674,19.2518,19.4966,19.2745,-0.1338631257801573,-0.004339719298487058
2010-09-17,67.8463530427276,0.15715987093412703,0.0625867128875015,0.01345136475046628,-1526557289.2894168,19.3831,19.2745,19.622,19.5247,-0.09457315804662554,0.008026269631155315
2010-09-20,75.2560607177068,0.15878908420928642,0.10391319721498249,0.013469943070632186,-1461716902.2659929,19.5393,19.2976,19.6161,19.4065,-0.054875886994303937,-0.010785048839496401
2010-09-21,73.09357666845571,0.13861036799693888,0.11838707300186968,0.013597985609936367,-1530249575.2113688,19.3297,19.2745,19.5327,19.5247,-0.02022329499506921,-0.021740384589256707
2010-09-22,59.48646773074251,0.09235192413974241,0.09521661017960881,0.013624030123688775,-1652861191.5017889,18.914,18.7219,19.1909,19.1452,0.002864686039866393,-0.0073655385364769154
2010-09-23,56.29746094403369,0.04963277870361158,0.06490565941938087,0.01360294661647648,-1712917362.9068978,18.7752,18.7219,18.8987,18.8218,0.015272880715769288,0.013563905488815909
2010-09-24,56.1463578382007,0.03647902274240156,0.06087165914377124,0.013560236618803343,-1645354999.2500288,19.0316,18.8898,19.0569,18.9463,0.024392636401369683,-0.0012250296616897931
2010-09-27,60.78424246829225,0.024612878108751967,0.05515873403730964,0.013542984967979656,-1702194070.7532368,19.0083,18.8987,19.2062,19.0967,0.030545855928557675,-0.0020063990300510765
2010-09-28,60.476552048305976,0.013175227067225632,0.04701488976258972,0.013533262441777794,-1775077291.4657948,18.9702,18.713,19.1383,19.0967,0.033839662695364085,-0.007492336391293417
2010-09-29,56.63458836751896,-0.004029429137324486,0.028802876273708478,0.013507885002983723,-1832690601.535884,18.8286,18.7538,18.953,18.9383,0.032832305411032964,-0.00036121794583538283
2010-09-30,59.02917597100707,-0.01533503097832252,0.013663516688129818,0.013482141740993775,-1912112495.1288369,18.8218,18.7219,19.08,18.8987,0.028998547666452337,-0.004387513294844918
2010-10-01,34.87262872628733,-0.02714022524485108,-0.004926733889611512,0.013216646150384525,-1993590158.0649168,18.7394,18.6743,19.0713,19.0316,0.02221349135523957,-0.019691637372670257
2010-10-04,29.93393505164238,-0.056638247371539066,-0.04858431785918427,0.01360639415739819,-2121214025.7924469,18.374,18.275,18.4373,18.4225,0.008053929512354802,0.01828184764637683
2010-10-05,37.958309302134055,-0.050597203755226396,-0.055192575181678194,0.014024146515864927,-2019781965.0622568,18.713,18.374,18.7908,18.5151,-0.0045953714264517975,0.003318380561192148
2010-10-06,35.08061039744811,-0.04014705180864742,-0.054779186187261075,0.013904208103961313,-1954189341.6091948,18.7752,18.5451,18.8597,18.7052,-0.014632134378613654,0.004029112827931465
2010-10-07,38.48916194349502,-0.02652174693246972,-0.0477843180442008,0.013913543978744823,-1889083246.1316917,18.851,18.6595,19.0197,18.881,-0.021262571111731084,0.0015901625316199666
2010-10-08,34.936616173172865,-0.014482979286105507,-0.03936629521936297,0.013717699459834653,-1835314202.9515078,18.881,18.7306,18.9463,18.914,-0.02488331593325746,0.0009370112147549005
2010-10-11,39.188240016054664,-0.004821662157756524,-0.030910393630453115,0.013701659703102748,-1799465282.6337628,18.8987,18.8286,19.0131,18.978,-0.02608873147269659,0.009547529388990393
